Exhibition Title,Start Date,Start Year,End Date,Street Address
Tell Me How You Really Feel: Diaristic Tendencies,07-11-2012,2012,09-22-2012,"28 W 27th St, New York, NY 10001"
2012 Workspace Artists in Residence,04-19-2013,2013,06-29-2013,"28 W 27th St, New York, NY 10001"
Al-Mutanabbi Street Starts Here,07-10-2013,2013,09-21-2013,"28 W 27th St, New York, NY 10001"
"Brother, Can You Spare a Stack?",01-18-2013,2013,03-30-2013,"28 W 27th St, New York, NY 10001"
Candace Hicks: Fabrications,01-18-2013,2013,03-30-2013,"28 W 27th St, New York, NY 10001"
Featured Artist Project: Elena Costelian,04-19-2013,2013,06-29-2013,"28 W 27th St, New York, NY 10001"
From Bande Dessinée to Artist's Book: Testing the Limits of Franco-Belgian Comics,04-19-2013,2013,06-29-2013,"28 W 27th St, New York, NY 10001"
My Gallery Is The World Now: Books And Ideas After Seth Siegelaub,10-04-2013,2013,12-14-2013,"28 W 27th St, New York, NY 10001"
Pamela Spitzmueller: 2013 Master Faculty Fellow,10-04-2013,2013,12-14-2013,"28 W 27th St, New York, NY 10001"
Scholars for the Advanced Study in Book Arts 2013,10-04-2013,2013,12-14-2013,"28 W 27th St, New York, NY 10001"
Tomie Arie: Tales From Home,01-18-2013,2013,03-30-2013,"28 W 27th St, New York, NY 10001"
Valerie Blackwell Hird: The Maiden Voyages Project,10-04-2013,2013,12-14-2013,"28 W 27th St, New York, NY 10001"
2013 Workspace Artists-in-Residence,04-18-2014,2014,06-28-2014,"28 W 27th St, New York, NY 10001"
Behind The Personal Library: Collectors Creating The Canon,10-11-2014,2014,12-20-2014,"28 W 27th St, New York, NY 10001"
Featured Artist Project: Aqui en la lucha – Steven Daiber,01-17-2014,2014,03-29-2014,"28 W 27th St, New York, NY 10001"
Featured Artist Project: Diane Stemper – Sample Close at Hand,04-18-2014,2014,06-28-2014,"28 W 27th St, New York, NY 10001"
Featured Artist Project: Scholarship for Advanced Studies in Book Arts,10-11-2014,2014,12-20-2014,"28 W 27th St, New York, NY 10001"
Featured Artist Project: SP Weather Reports,01-17-2014,2014,03-29-2014,"28 W 27th St, New York, NY 10001"
Livre D’Artiste D’Aujourd’Hui: Interdisciplinary Collaboration,07-23-2014,2014,09-27-2014,"28 W 27th St, New York, NY 10001"
"Once Upon A Time, There Was The End",04-18-2014,2014,06-28-2014,"28 W 27th St, New York, NY 10001"
Richard Minsky: Notes,10-11-2014,2014,12-20-2014,"28 W 27th St, New York, NY 10001"
Silence Unbound: The Artist's Lexicon In The Making,01-17-2014,2014,03-29-2014,"28 W 27th St, New York, NY 10001"
Zines+ And The World Of ABC No Rio,07-23-2014,2014,09-27-2014,"28 W 27th St, New York, NY 10001"
/mit ðə detə/: Source Materials Visualized,07-08-2015,2015,09-19-2015,"28 W 27th St, New York, NY 10001"
"2014 Workspace Artists-In-Residence:
Damali Abrams, Emmy Catedral, Heidi Lau, Eto Otitigbe, and Seldon Yuan",04-17-2015,2015,06-27-2015,"28 W 27th St, New York, NY 10001"
2015 Scholars For Advanced Studies In Book Arts,10-02-2015,2015,12-12-2015,"28 W 27th St, New York, NY 10001"
Archive Bound,10-02-2015,2015,12-12-2015,"28 W 27th St, New York, NY 10001"
Buzz Spector: The Book Under (De-) Construction,10-02-2015,2015,12-12-2015,"28 W 27th St, New York, NY 10001"
Colette Fu: We Are Tiger Dragon People,01-23-2015,2015,04-04-2015,"28 W 27th St, New York, NY 10001"
Elena Berriolo: Why Didn't They?,10-02-2015,2015,12-12-2015,"28 W 27th St, New York, NY 10001"
Embraced: The International Community,07-08-2015,2015,09-19-2015,"28 W 27th St, New York, NY 10001"
John Jacobsmeyer: More Than Human,01-23-2015,2015,04-04-2015,"28 W 27th St, New York, NY 10001"
Linda Carreiro: Inside Out Of Words,04-17-2015,2015,06-27-2015,"28 W 27th St, New York, NY 10001"
Redux: Selected Featured Artist Projects Renewed,01-23-2015,2015,04-03-2015,"28 W 27th St, New York, NY 10001"
Then & Now: Ten Years of Residencies At The Center For Book Arts,04-17-2015,2015,06-27-2015,"28 W 27th St, New York, NY 10001"
"2015 Workspace Artists-In-Residence: Aravind Adyanthaya, Joseph Cuillier, Glen Einbinder, Nontsikelelo Mutiti, and Brad Thiele",04-15-2016,2016,06-25-2016,"28 W 27th St, New York, NY 10001"
"2016 Faculty Fellow, Amos P. Kennedy, Jr: I Am Negro",10-07-2016,2016,12-10-2016,"28 W 27th St, New York, NY 10001"
